Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
0,2,55,25,1250,1,0,0.000702773,1
2,2,60,20,30,0,0,0.000706084,1
0,1,50,10,50,1,0,0.00081412,1
0,2,55,10,150,0,0,0.000869761,1
1,1,50,25,30,0,1,0.000764773,1
2,2,50,0,450,0,1,0.000749213,1
1,0,50,10,30,1,0,0.000845527,1
2,1,55,15,1250,1,1,0.000757943,1
2,0,50,15,30,1,0,0.000868038,1
2,2,55,5,1450,0,0,0.000791889,1
0,0,50,0,450,1,0,0.000852784,1
0,0,60,0,50,1,0,0.000843799,1
0,0,50,5,1000,0,2,0.000708918,1
2,3,50,0,250,0,0,0.000872579,1
1,0,60,5,50,0,1,0.000790428,1
0,0,60,15,250,1,1,0.000772841,1
1,2,50,20,1000,1,0,0.000825264,1
0,1,55,10,1000,1,1,0.000768771,1
2,2,50,0,1450,1,0,0.000867427,1
0,2,55,5,50,0,0,0.000801392,1
2,2,55,5,30,0,1,0.000817626,1
0,3,55,15,250,1,0,0.000728686,1
2,1,50,10,1000,1,1,0.000756182,1
0,0,50,0,30,1,1,0.000834483,1
2,1,55,0,600,0,0,0.000849053,1
1,0,50,5,1450,0,1,0.000847253,1
2,2,55,0,50,1,4,0.000709285,1
1,0,60,0,1000,0,1,0.00070176,1
2,0,60,0,450,1,0,0.000715416,1
1,0,55,0,600,0,1,0.000806511,1
2,1,50,10,600,1,0,0.000829906,1
2,2,50,5,50,0,0,0.000799426,1
2,0,55,0,50,0,1,0.000856176,1
1,2,55,10,150,0,1,0.000779862,1
1,1,50,0,1000,0,1,0.000858404,1
2,0,55,5,30,1,1,0.000795087,1
0,0,55,10,150,0,1,0.000798244,1
2,0,50,5,30,0,2,0.000702192,1
0,0,60,0,30,1,0,0.000758071,1
2,2,50,15,1450,0,1,0.000858227,1
0,0,55,0,600,2,2,0.000760789,1
1,1,60,5,450,0,0,0.000800526,1
2,0,60,20,30,2,0,0.000841026,1
2,3,50,10,30,0,0,0.000725677,1
1,2,50,0,250,1,4,0.000707136,1
2,0,50,0,30,1,3,0.000715199,1
1,2,50,0,1000,1,0,0.000838019,1
0,1,55,5,1250,0,2,0.000740692,1
2,1,55,15,450,1,0,0.000858402,1
2,1,60,0,250,0,3,0.000758885,1
1,0,50,10,250,1,1,0.00081641,1
0,0,55,0,50,1,1,0.000833497,1
1,1,50,10,50,1,0,0.000824111,1
2,2,60,5,450,1,0,0.00082455,1
2,0,60,15,1000,0,2,0.000764085,1
1,1,55,15,150,0,0,0.000867674,1
2,0,50,10,450,0,4,0.00070076,1
2,3,50,10,30,1,2,0.000778717,1
1,1,50,10,450,0,1,0.000864109,1
2,1,65,10,250,1,0,0.000742579,1
0,0,55,15,1450,1,0,0.00079085,1
2,0,50,10,30,1,0,0.000805532,1
1,2,50,0,1000,0,0,0.000865033,1
2,1,50,5,250,1,1,0.000839333,1
1,2,50,0,450,0,0,0.000851231,1
2,1,60,0,600,1,0,0.000757344,1
1,0,50,5,1000,1,4,0.000706284,1
0,1,50,15,150,0,2,0.000743243,1
1,2,55,5,30,1,0,0.000799703,1
2,0,50,10,1250,1,0,0.000811942,1
0,0,50,5,250,0,0,0.000832932,1
2,2,55,10,250,1,0,0.000837077,1
2,1,50,5,1000,0,1,0.000815044,1
0,2,50,15,30,1,1,0.000816005,1
0,0,55,0,1000,1,0,0.000811859,1
0,0,55,10,600,1,0,0.000828455,1
2,3,55,0,50,0,1,0.000842813,1
2,2,50,5,150,0,1,0.000822954,1
0,0,50,10,1450,1,1,0.000777069,1
0,0,55,15,450,1,2,0.000845558,1
0,2,55,15,150,0,0,0.000803422,1
1,1,50,60,50,0,0,0.000720244,1
2,0,55,15,1450,0,1,0.000832149,1
1,1,50,5,1250,1,2,0.000778723,1
2,2,50,10,250,2,0,0.000715057,1
1,0,60,10,250,1,2,0.000759093,1
1,1,55,15,50,0,1,0.000825541,1
1,2,60,15,250,0,2,0.000807216,1
0,2,60,10,1250,1,3,0.000706278,1
1,2,50,5,600,1,1,0.000790093,1
2,1,55,60,150,1,0,0.000712105,1
2,1,50,15,150,1,1,0.00083449,1
1,0,65,0,1250,1,0,0.000756195,1
2,1,50,15,1450,1,0,0.00085387,1
0,2,50,10,600,1,0,0.000798969,1
0,0,55,45,600,1,0,0.000729361,1
2,0,50,0,30,1,0,0.000805174,1
2,0,55,15,1000,1,4,0.000702599,1
0,1,55,15,30,1,3,0.000738755,1
1,2,50,0,450,1,2,0.000758426,1
2,1,50,10,50,0,1,0.000771576,1
