Scenerio,Participant,Distance,Orientation,Light,Speed,Glasses,FFT,Target
1,3,60,60,1450,1,3,0.000201995,0
2,3,70,60,1000,2,2,0.000370851,0
1,3,75,10,1450,2,2,0.000461557,0
2,3,75,25,30,0,2,0.000470085,0
0,3,70,20,50,2,3,0.000567154,0
1,3,70,40,1250,2,2,0.000359589,0
0,3,75,30,30,2,3,0.000455412,0
0,2,65,20,250,0,1,0.000140875,0
2,3,65,55,450,2,3,0.00066022,0
2,3,55,40,50,1,0,0.00050168,0
1,3,75,45,50,2,2,0.000479203,0
0,3,60,55,600,2,3,0.000344092,0
2,3,70,35,30,2,2,0.000614723,0
0,3,70,45,30,2,2,0.000493778,0
1,3,65,0,1450,2,1,0.000534248,0
0,3,50,20,150,2,0,0.00022836,0
1,0,75,25,600,0,3,0.000565503,0
2,3,65,40,450,2,4,0.000596322,0
0,3,55,55,30,2,3,0.000602407,0
0,3,70,20,50,2,2,0.000254789,0
2,3,65,20,1000,2,2,0.000181213,0
1,0,60,0,30,2,0,0.000209651,0
2,0,50,15,150,2,4,0.000196447,0
2,3,60,40,250,2,1,0.000553747,0
0,3,70,45,150,2,1,0.000153865,0
2,2,75,20,1000,0,1,0.000182823,0
1,3,70,5,30,2,4,0.000643754,0
1,3,70,60,1000,2,4,0.00062023,0
2,3,75,60,1000,2,3,0.000670663,0
1,1,60,40,1450,2,2,0.000457709,0
0,0,70,55,1250,2,2,0.000340107,0
1,3,65,45,1450,1,3,0.000568601,0
0,3,75,45,600,0,2,0.000175709,0
1,3,70,25,450,2,4,0.000363075,0
1,3,65,15,30,2,3,0.00044403,0
2,3,75,60,1250,0,4,0.000188359,0
0,3,65,60,50,0,0,0.000172072,0
2,3,70,20,600,0,1,0.000398822,0
1,3,70,40,1000,0,4,0.000665956,0
0,3,65,35,50,2,3,0.000566322,0
2,3,70,20,1450,2,3,0.00029549,0
1,3,50,60,250,2,4,0.000436011,0
1,3,65,15,1250,2,2,0.00014074,0
1,3,75,55,1450,0,2,0.000550266,0
1,3,60,0,1250,2,3,0.000585319,0
2,3,75,5,450,2,2,0.000330099,0
1,3,75,55,1450,2,4,0.000370324,0
1,3,65,25,150,1,3,0.000325089,0
1,3,60,60,50,2,4,0.000192074,0
0,3,60,55,1000,2,2,0.000492809,0
0,1,70,45,1250,2,2,0.000200238,0
1,3,75,55,1000,2,3,0.000641249,0
